drinkID	przepNo	przepOpis	przepOpcja
firestarter	2	Wlej wszystkie składniki oprócz soku grapefruitowego do shakera.	0
firestarter	3	Energicznie wstrząśnij.	0
firestarter	4	Przecedź do szklanki wypełnionej lodem.	0
firestarter	5	Uzupełnij sokiem grapefruitowym.	0
footloose	1	Wsyp lód do shakera.	0
footloose	2	Wlej wszystkie składniki oprócz Sprite do shakera.	0
footloose	3	Energicznie wstrząśnij.	0
footloose	4	Przecedź do szklanki wypełnionej lodem.	0
footloose	5	Uzupełnij Spritem.	0
freestyler	1	Wsyp lód do shakera.	0
freestyler	2	Wlej wszystkie składniki do shakera.	0
freestyler	3	Wstrząśnij.	0
freestyler	4	Przecedź do kieliszka.	0
french75	1	Wlej wszystkie składniki oprócz szampana do shakera.	0
french75	2	Dobrze wstrząśnij.	0
french75	3	Odcedź do kieliszka do szampana.	0
french75	4	Uzupełnij szampanem.	0
french75	5	Delikatnie wymieszaj.	0
frenchconnection	1	Wsyp lód do szklanki old fashioned.	0
frenchconnection	2	Wlej wszystkie składniki szklanki.	0
frenchconnection	3	Delikatnie wymieszaj.	0
frenchmartini	1	Wsyp lód do shakera.	0
frenchmartini	2	Wlej wszystkie składniki do shakera	0
frenchmartini	3	Dobrze wstrząśnij.	0
frenchmartini	4	Odcedź do schłodzonej szklanki koktajlowej.	0
frenchmartini	5	Wyciśnij olejek ze skórki cytryny na napój.	0
gangstaparadise	1	Wsyp lód do shakera.	0
gangstaparadise	2	Wlej wszystkie składniki do shakera.	0
gangstaparadise	3	Wstrząśnij.	0
gangstaparadise	4	Przecedź do szklanki z lodem.	0
ginfizz	1	Wsyp lód do shakera.	0
ginfizz	2	Wlej wszystkie składniki oprócz wody sodowej do shakera	0
ginfizz	3	Wstrząśnij.	0
ginfizz	4	Wlej do wąskiej, wysokiej szklanki typu Tumbler.	0
ginfizz	5	Dopełnij odrobiną wody sodowej.	0
ginfizz	6	Ozdób plasterkiem cytryny.	0
goldendream	1	Wsyp lód do shakera.	0
goldendream	2	Wlej wszystkie składniki.	0
goldendream	3	Wstrząśnij energicznie przez kilka sekund.	0
goldendream	4	Odcedź do schłodzonej szklanki koktajlowej.	0
grasshopper	1	Wsyp lód do shakera.	0
grasshopper	2	Wlej wszystkie składniki.	0
grasshopper	3	Wstrząśnij energicznie przez kilka sekund.	0
grasshopper	4	Odcedź do schłodzonej szklanki koktajlowej.	0
gromwraju	1	Wsyp lód do shakera.	0
gromwraju	2	Wlej wszystkie składniki do shakera.	0
gromwraju	3	Wstrząśnij.	0
gromwraju	4	Przecedź do szklanki wypełnionej lodem.	0
groundzero	1	Wypełnij szklankę kostkami lodu.	0
groundzero	2	Wlej na dno syrop curacao.	0
groundzero	3	Wlej do shakera sok z mango, rum i syrop cukrowy - bez lodu.	0
groundzero	4	Wstrząśnij.	0
groundzero	5	Po odwróconej łyżce delikatnie wlej do szklanki by utworzyć drugą warstwę.	0
groundzero	6	Wlej sok z cytryny i sok wiśniowy do shakera - bez lodu.	0
groundzero	7	Wstrząśnij.	0
groundzero	8	Po odwróconej łyżce wlej delikatnie do szklanki by utworzyć trzecią warstwę.	0
hankypanky	1	Wsyp lód do szklalnicy barmańskiej.	0
hankypanky	2	Wlej wszystkie składniki.	0
hankypanky	3	Dobrze wymieszaj.	0
hankypanky	4	Odcedź do schłodzonej szklanki koktajlowej.	0
hankypanky	5	Ozdób skórką pomarańczy.	0
heartbreaker	1	Wsyp lód do shakera.	0
heartbreaker	2	Wlej wszystkie składniki do shakera.	0
heartbreaker	3	Wstrząśnij.	0
heartbreaker	4	Przecedź do szklanki wypełnionej lodem.	0
hemingwayspecial	1	Wsyp lód do shakera.	0
hemingwayspecial	2	Wlej wszystkie składniki.	0
hemingwayspecial	3	Dobrze wstrząśnij.	0
hemingwayspecial	4	Odcedź do dużej szklanki koktajlowej.	0
horsesneck	1	Wsyp lód do szklanki highball..	0
horsesneck	2	Wlej koniak i ginger ale.	0
horsesneck	3	Delikatnie wymieszaj.	0
horsesneck	4	Jeśli wolisz, dodaj kilka kropli bittersa Angostura.	0
horsesneck	5	Ozdób spiralą skórki jednej cytryny.	0
illegal	1	Wsyp lód do shakera.	0
illegal	2	Wlej wszystkie składniki.	0
illegal	3	Wstrząśnij energicznie.	0
illegal	4	Odcedź do schłodzonej szklanki koktajlowej.	0
invisibleman	1	Udekoruj brzeg kieliszka crustą z syropu cukrowego i kawy rozpuszczalnej.	0
invisibleman	2	Wsyp lód do shakera.	0
invisibleman	3	Wlej wszystkie składniki do shakera.	0
invisibleman	4	Wstrząśnij.	0
invisibleman	5	Przecedź do kieliszka.	0
irishcoffee	1	Wlej czarną gorącą kawę do podgrzanej szklanki do irish coffee.	0
irishcoffee	2	Dodaj whiskey.	0
irishcoffee	3	Dodaj co najmniej łyżeczkę cukru.	0
irishcoffee	4	Mieszaj, aż cukier się rozpuści.	0
irishcoffee	5	Ostrożnie dodaj świeżej, schłodzonej, gęstej śmietany wlewając na łyżkę trzymaną tuż nad powierzchnią kawy. Warstwa śmietany powinna unosić się na kawie, nie mieszając się z nią.	0
irishcoffee	6	Zwykły cukier można zastąpić syropem cukrowym.	0
jacuzi	1	Rozgnieć dwie cząstki lemonki w shakerze.	0
jacuzi	2	Wsyp kostki lodu.	0
jacuzi	3	Wlej pozostałe składniki do shakera.	0
jacuzi	4	Wstrząśnij.	0
jacuzi	5	Do schłodzonej szklanki Collins wrzuć lód.	0
jacuzi	6	Odcedź koktail do szklanki.	0
johncollins	1	Wsyp lód do shakera.	0
johncollins	2	Wlej wszystkie składniki do szklanki typu highball.	0
johncollins	3	Delikatnie wymieszaj.	0
johncollins	4	Ozdób plasterkiem cytryny i wiśnią maraschino.	0
johnybravo	1	Wsyp lód do shakera.	0
johnybravo	2	Wlej wszystkie składniki do shakera.	0
johnybravo	3	Wstrząśnij.	0
johnybravo	4	Przecedź do szklanki wypełnionej lodem.	0
joyride	1	Wsyp lód do shakera.	0
joyride	2	Wlej wszystkie składniki do shakera.	0
joyride	3	Wstrząśnij.	0
joyride	4	Przecedź do szklanki wypełnionej lodem.	0
kamikaze	1	Wlej wszystkie składniki do shaker-a	0
kamikaze	2	Wstrząśnij	0
kamikaze	3	Przecedź do 3 kieliszków po 40 lub 4 po 30 ml.	0
kir	1	Wlej Crème de Cassis do kieliszka.	0
kir	2	Dopełnij białym winem.	0
kirroyal	1	Wlej Crème de Cassis do kieliszka.	0
kirroyal	2	Dopełnij szampanem.	0
kiwidaiquiri	1	Obierz kiwi i pokrój na małe kawałki.	0
kiwidaiquiri	2	Wrzuć do shakera i rozgnieć.	0
kiwidaiquiri	3	Wlej pozostałe składniki i lód.	0
kiwidaiquiri	4	Wstrząśnij.	0
kiwidaiquiri	5	Przecedź do kieliszka.	0
labamba	1	Sok pomarańczowy i syrop cukrowy wlej do shakera.	0
labamba	2	Wstrząśnij.	0
labamba	3	Wlej zawartość shakera do szklanki wypełnionej lodem.	0
labamba	4	Wlej sok z czarnej porzeczki, sok z cytryny i wódkę do shakera bez lodu.	0
labamba	5	Delikatnie odcedź do szklanki po odwróconej łyżce tak by utworzyć warstwę.	0
laislabonita	1	Wsyp lód do shakera.	0
laislabonita	2	Wlej wszystkie składniki oprócz wody sodowej do shakera.	0
laislabonita	3	Energicznie wstrząśnij.	0
laislabonita	4	Przecedź do szklanki z lodem.	0
laislabonita	5	Uzupełnij wodą sodową.	0
lastword	1	Wsyp lód do shakera.	0
lastword	2	Dodaj wszystkie składniki do shakera.	0
lastword	3	Wstrząśnij.	0
lastword	4	Odcedź do schłodzonej szklanki koktajlowej.	0
lemondropmartini	1	Wsyp lód do shakera.	0
lemondropmartini	2	Wlej wszystkie składniki do shakera.	0
lemondropmartini	3	Dobrze wstrząśnij.	0
lemondropmartini	4	Odcedź do schłodzonej szklanki koktajlowej.	0
lemondropmartini	5	Ozdób szklankę cukrową obwódką.	0
letsdance	1	Wsyp lód do shakera.	0
letsdance	2	Wlej wszystkie składniki do shakera.	0
letsdance	3	Wstrząśnij.	0
letsdance	4	Przecedź do szklanki wypełnionej lodem.	0
littlerock	1	Wsyp lód do shakera.	0
littlerock	2	Wlej wszystkie składniki do shakera.	0
littlerock	3	Wstrząśnij.	0
littlerock	4	Przecedź do 3 kieliszków 50ml.	0
longislandicetea	1	Wsyp lód do szklanki highball.	0
longislandicetea	2	Dodaj wszystkie składniki do szklanki.	0
longislandicetea	3	Delikatnie wymieszaj.	0
lowcaandroidow	1	Wlej wódkę i sok z cytryny do szklanki.	0
lowcaandroidow	2	Wrzuć kawałki cytryny do szklanki.	0
lowcaandroidow	3	Dodaj kostki lodu.	0
lowcaandroidow	4	Uzupełnij tonikiem.	0
maitai	1	Wsyp lód do shakera.	0
maitai	2	Dodaj wszystkie składniki.	0
maitai	3	Wstrząśnij.	0
maitai	4	Wlej do szklanki typu double rocks lub highball.	0
maitai	5	Ozdób szpikulcem ananasa, listkami mięty i skórką limonki.	0
manhattan	1	Wsyp lód do szklanicy barmańskiej.	0
manhattan	2	Wlej wszystkie składniki.	0
manhattan	3	Dobrze wymieszaj.	0
manhattan	4	Odcedź do schłodzonej szklanki koktajlowej.	0
manhattan	5	Ozdób wiśnią koktajlową.	0
maninthemirror	1	Wsyp lód do shakera.	0
maninthemirror	2	Wlej wszystkie składniki do shakera.	0
maninthemirror	3	Wstrząśnij.	0
maninthemirror	4	Przecedź do szklanki wypełnionej lodem.	0
maninthemirror	5	Udekoruj kawałkiem ananasa i miechunką.	0
margarita	1	Wsyp lód do shakera.	0
margarita	2	Dodaj wszystkie składniki.	0
margarita	3	Wstrząśnij.	0
margarita	4	Odcedź do schłodzonej szklanki koktajlowej.	0
margaritatruskawkowa	1	Rozgnieć truskawki w shakerze.	0
margaritatruskawkowa	2	Dodaj lód i pozostałe składniki.	0
margaritatruskawkowa	3	Wstrząśnij energicznie.	0
margaritatruskawkowa	4	Przelej do kieliszka.	0
marktwaincoctail	1	Nasyp lodu do shakera.	0
marktwaincoctail	2	Dodaj wszystkie składniki.	0
marktwaincoctail	3	Wstrząśnij	0
marktwaincoctail	4	Przecedź do schłodzonego kieliszka.	0
martinez	1	Wsyp lód do szklanicy barmańskiej.	0
martinez	2	Wlej wszystkie składniki.	0
martinez	3	Dobrze wymieszaj.	0
martinez	4	Odcedź do schłodzonej szklanki koktajlowej.	0
martinez	5	Ozdób skórką cytryny.	0
marypickford	1	Wsyp lód do shakera.	0
marypickford	2	Wlej wszystkie składniki.	0
marypickford	3	Dobrze wstrząśnij.	0
marypickford	4	Odcedź do schłodzonej szklanki koktajlowej.	0
miamivice	1	Wsyp lód do shakera.	0
miamivice	2	Wlej wódkę, grenadynę i sok z porzeczki do shakera	0
miamivice	3	Wstrząśnij.	0
miamivice	4	Przecedź do szklanki wypełnionej lodem.	0
miamivice	5	Dopełnij tonikiem.	0
mimosa	1	Wlej sok pomarańczowy do kieliszka typu flute.	0
mimosa	2	Delikatnie wlej wino musujące.	0
mimosa	3	Delikatnie wymieszaj.	0
mintjulep	1	W szklance Julep Stainless Steel delikatnie utłucz miętę z cukrem i wodą.	0
mintjulep	2	Napełnij szklankę kruszonym lodem.	0
mintjulep	3	Dodaj bourbon.	0
mintjulep	4	Dobrze wymieszaj, aż szklanka będzie skropiona szronem.	0
mintjulep	5	Ozdób gałązką mięty.	0
mojito	1	Wymieszaj gałązki mięty z cukrem i sokiem z limonki.	0
mojito	2	Dodaj odrobinę wody sodowej.	0
mojito	3	Napełnij szklankę lodem.	0
mojito	4	Wlej rum i dopełnij wodą sodową.	0
mojito	5	Delikatnie wymieszaj, aby składniki się połączyły.	0
mojito	6	Ozdób gałązkami mięty i plasterkiem limonki.	0
mojitozogorkiemiimbirem	1	Pokrój limonkę na 6 części.	0
mojitozogorkiemiimbirem	2	Wrzuć do szklanki, zasyp cukrem i ugnieć.	0
mojitozogorkiemiimbirem	3	Dodaj listki mięty, ogórka oraz imbir starty na tarce.	0
mojitozogorkiemiimbirem	4	Znowu ugnieć.	0
mojitozogorkiemiimbirem	5	Dodaj rum i lód kruszony.	0
mojitozogorkiemiimbirem	6	Delikatnie zamieszaj łyżką.	0
mojitozogorkiemiimbirem	7	Uzupełnij Spritem.	0
monkeygland	1	Wsyp lód do shakera.	0
monkeygland	2	Wlej wszystkie składniki.	0
monkeygland	3	Dobrze wstrząśnij.	0
monkeygland	4	Odcedź do schłodzonej szklanki koktajlowej.	0
moscowmule	1	W szklance typu Mule Cup lub rocks, połącz wódkę z piwem imbirowym.	0
moscowmule	2	Dodaj sok z limonki.	0
moscowmule	3	Delikatnie wymieszaj, aby składniki się połączyły.	0
moscowmule	4	Ozdób plasterkiem limonki.	0
mrocznyrycerz	1	Wsyp lód do shakera.	0
mrocznyrycerz	2	Wlej wszystkie składniki oprócz Coli do shakera.	0
mrocznyrycerz	3	Energicznie wstrząśnij.	0
mrocznyrycerz	4	Przecedź do szklanki wypełnionej lodem.	0
mrocznyrycerz	5	Uzupełnij Coca Colą.	0
mudslide	2	Wsyp lód do shakera.	0
mudslide	3	Dodaj wódkę, likier kawowy i baileys oraz śmietanę kremówkę.	0
mudslide	4	Energicznie wstrząśnij.	0
mudslide	5	Przecedź do schłodzonego kieliszka.	0
nakedandfamous	1	Wsyp lód do shakera.	0
nakedandfamous	2	Wlej wszystkie składniki.	0
nakedandfamous	3	Dobrze wstrząśnij.	0
nakedandfamous	4	Odcedź do schłodzonej szklanki koktajlowej.	0
negroni	1	 Wsyp dużą kostkę lodu do szklanki typu old fashioned.	0
negroni	2	Wlej wszystkie składniki.	0
negroni	3	Delikatnie wymieszaj.	0
negroni	4	Ozdób połową plasterka pomarańczy.	0
newyorksour	1	Wsyp lód do shakera.	0
newyorksour	2	Nasyp lodu do szklanki typu rocks.	0
newyorksour	3	Wlej wszystkie składniki oprócz wina do shakera.	0
newyorksour	4	Wstrząśnij energicznie.	0
newyorksour	5	Przecedź składniki do szklanki.	0
newyorksour	6	Delikatnie wlej wino na wierzch.	0
newyorksour	7	Ozdób skórką cytryny lub pomarańczy oraz wiśnią.	0
nosferatu	1	Wlej sok grapefuitowy i syrop cukrowy do shakera - bez lodu.	0
nosferatu	2	Wstrząśnij.	0
nosferatu	3	Przecedź do szklanki wypełnionej lodem.	0
nosferatu	4	Wlej do shakera gin, sok cytrynowy i sok z czarnej porzeczki - bez lodu.	0
nosferatu	5	Wstrząśnij.	0
